Lat,Lon,Transaction Name,Address,City,Full_Address
43.72562027,-79.64698792,7555 Goreway Drive,7555 Goreway Drive,Mississauga,7555 Goreway Drive Mississauga
43.8375,-79.0473,Volkswagen Group Canada,777 Bayly St,Ajax,777 Bayly St Ajax
,,Mississauga Road & Bovaird Road West,Mississauga Road & Bovaird Road West,Brampton,Mississauga Road & Bovaird Road West Brampton
42.94950104,-81.16629791,2624 Jackson Rd,2624 Jackson Rd,London,2624 Jackson Rd London
43.70225231,-79.5707978,77 Belfield Road,77 Belfield Road,Etobicoke,77 Belfield Road Etobicoke
43.7799916,-79.2300814,10 and 30 Tuxedo Court,10 Tuxedo Ct,Toronto,10 Tuxedo Ct Toronto
,,"RR 33 & 35, TR 252","RR 33 & 35, TR 252",Rocky View County,"RR 33 & 35, TR 252 Rocky View County"
43.3915624,-80.4301051,"100, 120 & 170 Old Carriage Drive",100 Old Carriage Drive,Kitchener,100 Old Carriage Drive Kitchener
45.4126434,-74.513525,Ericsson Global ICT Data Center Montreal,35 Rue F -X -Tessier,Vaudreuil-Dorion,35 Rue F -X -Tessier Vaudreuil-Dorion
49.28595352,-123.1317902,1348 Barclay Street,1348 Barclay St,Vancouver,1348 Barclay St Vancouver
49.28153229,-123.0950317,Patricia Hotel,403 East Hastings Street,Vancouver,403 East Hastings Street Vancouver
45.6848522,-73.7701323,355 Anderson Street,355 Anderson Street,Terrebonne,355 Anderson Street Terrebonne
53.59000015,-113.6215515,17306 129 Ave NW,17306 129 Ave NW,Edmonton,17306 129 Ave NW Edmonton
43.74556351,-79.21123505,3434 Eglinton Avenue East,3434 Eglinton Avenue East,Scarborough,3434 Eglinton Avenue East Scarborough
43.68050385,-79.7208786,15 Resolution Drive,15 Resolution Dr,Brampton,15 Resolution Dr Brampton
43.4803864,-80.52420632,Bridgeport House,Bridgeport House,Waterloo,Bridgeport House Waterloo
43.6596287,-79.5972227,College Square,2630 Skymark Avenue,Mississauga,2630 Skymark Avenue Mississauga
43.8388388,-79.3833456,105 Commerce Valley Drive West,105 Commerce Valley Dr W,Markham,105 Commerce Valley Dr W Markham
43.650143,-79.3787242,110 Yonge Street,110 Yonge St,Toronto,110 Yonge St Toronto
43.58986379,-79.639457,180 Burnhamthorpe Road West,180 Burnhamthorpe Road West,Mississauga,180 Burnhamthorpe Road West Mississauga
,,Newton Omniplex Center,Newton Omniplex Center,Surrey,Newton Omniplex Center Surrey
50.86381149,-114.0250626,72 Streeet & 210 Avenue Southeast,210 Ave SE,Calgary,210 Ave SE Calgary
43.68483462,-79.39232183,Cineplex Entertainment,1303 Yonge St,Toronto,1303 Yonge St Toronto
43.83881275,-79.38160539,55 Commerce Valley Dr W,55 Commerce Valley Dr W,Markham,55 Commerce Valley Dr W Markham
43.7704047,-79.3262256,501 Consumers Road,501 Consumers Road,North York,501 Consumers Road North York
43.21793747,-79.67800903,903 Barton Street,903 Barton St,Hamilton,903 Barton St Hamilton
43.25695801,-79.85825348,Wellington Place,125 Wellington St N,Hamilton,125 Wellington St N Hamilton
49.83044819,-119.6143064,Carrington View,2220 Majoros Rd,West Kelowna,2220 Majoros Rd West Kelowna
44.45378982,-80.31728077,County Rd 19,County Rd 19,The Blue Mountains,County Rd 19 The Blue Mountains
43.12793322,-80.33476769,21 York Road,21 York Road,Brant,21 York Road Brant
43.12755585,-80.33367157,Confederation Freezers York,21 York Rd,Brantford,21 York Rd Brantford
43.6552204,-79.83704011,9763 Heritage Road,9763 Heritage Road,Brampton,9763 Heritage Road Brampton
49.1343903,-123.0630692,Riverport Flats,14088 Riverport Way,Richmond,14088 Riverport Way Richmond
43.8440163,-79.01363952,2198 Bayly Road,2198 Bayly Road,Ajax,2198 Bayly Road Ajax
43.86646732,-79.58436584,11011 Pine Valley Drive,11011 Pine Valley Drive,Vaughan,11011 Pine Valley Drive Vaughan
46.840994,-71.328769,L'Aristocrate,2300 Rue de Bilbao,Quebec,2300 Rue de Bilbao Quebec
42.944664,-81.2874527,Springbank Village,916 Wonderland Rd S,London,916 Wonderland Rd S London
45.367088,-75.940062,1020-1070 March Road,1020 March Road,Kanata,1020 March Road Kanata
,,48 Lowes Place & 50 Resources Road,48 Lowes Place & 50 Resources Road,Etobicoke,48 Lowes Place & 50 Resources Road Etobicoke
43.9864782,-79.4408681,5 - 70 Archerhill Court,5 - 70 Archerhill Court,Aurora,5 - 70 Archerhill Court Aurora
43.8365875,-79.3253527,100 Gough Road,100 Gough Road,Markham,100 Gough Road Markham
49.28557968,-123.1312943,945 Jervis Street,945 Jervis St,Vancouver,945 Jervis St Vancouver
45.5178295,-73.481134,Carrefour des Erables,2281 Rue Joliette,Longueuil,2281 Rue Joliette Longueuil
,,10112 119 St,10112 119 St,Edmonton,10112 119 St Edmonton
45.51483962,-73.71823375,57-615 Henri-Bourassa Boulevard West,57 Henri-Bourassa Boulevard West,Saint-Laurent,57 Henri-Bourassa Boulevard West Saint-Laurent
,,Bramrose Square,Bramrose Square,Brampton,Bramrose Square Brampton
50.4469841,-104.5515893,Victoria Square,2223 Victoria Ave E,Regina,2223 Victoria Ave E Regina
49.28967667,-123.1406326,Park West,1869 Comox St,Vancouver,1869 Comox St Vancouver
,,County Road No. 27,- County Road No. 27,Innisfil,- County Road No. 27 Innisfil
45.42076874,-75.69464111,The Carleton Suite Hotel,161 Laurier Avenue West,Ottawa,161 Laurier Avenue West Ottawa
45.4456035,-75.6374807,Montfort Manor,550 Langs Rd,Ottawa,550 Langs Rd Ottawa
49.3176941,-123.100162,"945-949, 955, 961 & 967-999 West 1st Street",945 West 1st Street,North Vancouver,945 West 1st Street North Vancouver
45.4063662,-75.704623,324 Cambridge Street,324 Cambridge Street,Ottawa,324 Cambridge Street Ottawa
43.16611225,-80.21826506,10 Abbott Court,10 Abbott Ct,Brantford,10 Abbott Ct Brantford
,,"6399, 6415 & 6435 Victoria Drive","6399, 6415 & 6435 Victoria Drive",Vancouver,"6399, 6415 & 6435 Victoria Drive Vancouver"
43.61657715,-79.48669434,2335 Lake Shore Boulevard West,2335 Lake Shore Blvd W,Toronto,2335 Lake Shore Blvd W Toronto
43.4923296,-79.6763659,Oakwoods Centre,1899  Ironoak Way,Oakville,1899  Ironoak Way Oakville
43.7346455,-79.38034272,2395 Bayview Avenue,2395 Bayview Avenue,North York,2395 Bayview Avenue North York
,,Mayfair Self Storage,1385 Crown Street,North Vancouver,1385 Crown Street North Vancouver
42.787391,-81.1635945,170 Edward St,170 Edward St,Saint Thomas,170 Edward St Saint Thomas
46.841449,-71.323296,Domaine des Méandres,2275 Rue Des Bienfaits,Quebec,2275 Rue Des Bienfaits Quebec
49.32926941,-123.1703186,The Shoreland Apartments,2190 Bellevue Avenue,West Vancouver,2190 Bellevue Avenue West Vancouver
53.0000681,-106.3908978,3790 Highway No. 7,3790 Highway No. 7,Vaughan,3790 Highway No. 7 Vaughan
,,8 Henri-Bourassa Boulevard West,8 Henri-Bourassa Boulevard West,Saint-Laurent,8 Henri-Bourassa Boulevard West Saint-Laurent
49.2896617,-123.1406857,Park West,1869 Comox Street,Vancouver,1869 Comox Street Vancouver
49.20855224,-123.0967798,403 E Kent Ave N,403 E Kent Ave N,Vancouver,403 E Kent Ave N Vancouver
43.793099,-79.2252377,601 - 607 Milner Avenue,601 Milner Avenue,Scarborough,601 Milner Avenue Scarborough
48.44977585,-123.515866,1060 Goldstream Ave,1060 Goldstream Ave,Langford,1060 Goldstream Ave Langford
43.59813305,-79.55295643,2189 Lakeshore Boulevard West,2189 Lakeshore Boulevard West,Etobicoke,2189 Lakeshore Boulevard West Etobicoke
43.80241013,-79.49703217,2160 & 2180 Highway No. 7,2160 Highway No. 7,Vaughan,2160 Highway No. 7 Vaughan
43.83362579,-79.05797577,1400 Squires Beach Rd,1400 Squires Beach Rd,Pickering,1400 Squires Beach Rd Pickering
49.2810615,-123.1196819,800 & 804 Granville Street,800 Granville Street,Vancouver,800 Granville Street Vancouver
49.20845413,-123.0954971,455 E Kent Ave N,455 E Kent Ave N,Vancouver,455 E Kent Ave N Vancouver
43.68365363,-79.72572374,Glidden Road,Glidden Road,Brampton,Glidden Road Brampton
43.70269082,-79.79322505,190 Bovaird Dr W,190 Bovaird Dr W,Brampton,190 Bovaird Dr W Brampton
45.4501,-75.7529,Habitat du Lac Leamy,46 Rue Bedard,Gatineau,46 Rue Bedard Gatineau
49.2717423,-123.0870216,960 EVANS,960 EVANS,Vancouver,960 EVANS Vancouver
43.4790839,-80.52588312,Preston House,Preston House,Waterloo,Preston House Waterloo
43.50661087,-79.86076355,6791 Regional Road No 25,6791 Regional Rd No 25,Milton,6791 Regional Rd No 25 Milton
43.513671,-79.882817,6791 Regional Road No. 25,6791 Regional Road No. 25,Milton,6791 Regional Road No. 25 Milton
43.75200272,-79.46533203,1100 Sheppard Avenue West,1100 Sheppard Avenue West,North York,1100 Sheppard Avenue West North York
43.83175077,-79.06395352,1734-1738 Orangebrook Court,1734 Orangebrook Court,Pickering,1734 Orangebrook Court Pickering
43.7240068,-79.6906159,240 Nuggett Court,240 Nuggett Court,Brampton,240 Nuggett Court Brampton
45.5792926,-73.608734,Coopérative de Solidarité les Voisins de Viau-Robert,Robert Boulevard,Saint-Léonard,Robert Boulevard Saint-Léonard
,,5360 & 5400 Thickson Road,5360 & 5400 Thickson Road,Whitby,5360 & 5400 Thickson Road Whitby
43.88928462,-79.37495327,Woodbine Ave ,Woodbine Ave,Markham,Woodbine Ave Markham
43.704143,-79.696183,390 Orenda Road,390 Orenda Road,Brampton,390 Orenda Road Brampton
49.202557,-122.660956,11310 KINGSTON ST,11310 KINGSTON ST,Maple Ridge,11310 KINGSTON ST Maple Ridge
49.26769638,-123.1051941,5 W 4th Ave,5 W 4th Ave,Vancouver,5 W 4th Ave Vancouver
,,"4700& 5200 & 6500 144th Avenue NW, 15505& 15390 Symons Valley Road NW",4700 144th Avenue NW,Calgary,4700 144th Avenue NW Calgary
43.16877365,-80.22593689,115 Sinclair Boulevard,115 Sinclair Blvd,Brantford,115 Sinclair Blvd Brantford
49.29130515,-123.1367941,Park Lane Towers,1825 Haro Street,Vancouver,1825 Haro Street Vancouver
51.158545,-114.4718348,Points West Living Cochrane,60 Fireside Gate,Cochrane,60 Fireside Gate Cochrane
43.70741283,-79.39034963,758 Mount Pleasant Road,758 Mount Pleasant Road,Old Toronto,758 Mount Pleasant Road Old Toronto
49.2859918,-123.1169132,435-437 West Pender Street,435-437 West Pender Street,Vancouver,435-437 West Pender Street Vancouver
49.2824713,-123.1186283,6137 GRANVILLE,6137 GRANVILLE,Vancouver,6137 GRANVILLE Vancouver
45.59445572,-73.54721693,5975-5995 de l'Authion Avenue,5975 de l'Authion Avenue,Mercier-Hochelaga-Maisonneuve,5975 de l'Authion Avenue Mercier-Hochelaga-Maisonneuve
43.79241985,-79.62785969,Countryside Drive,Countryside Drive,Brampton,Countryside Drive Brampton
43.93027115,-78.87722778,1221 Simcoe Street North,1221 Simcoe Street North,Oshawa,1221 Simcoe Street North Oshawa
45.6267026,-73.6556066,875 Montée Saint-Francois ,875 Montée Saint-Francois,Laval,875 Montée Saint-Francois Laval
49.2828959,-122.783195,1160 Inlet Street,1160 Inlet Street,Coquitlam,1160 Inlet Street Coquitlam
49.14410782,-122.8545609,Newton Omniplex,13290 78 Ave,Surrey,13290 78 Ave Surrey
45.47992288,-73.77884293,Terminal 2800,2800 Ave Andre,Dorval,2800 Ave Andre Dorval
43.68830354,-79.76266087,"130 Main Street North, 7 & 11 Church Street East & 6 Nelson Street East",7 Church Street East,Brampton,7 Church Street East Brampton
43.67122269,-79.83699036,10244 Mississauga Rd,10244 Mississauga Rd,Brampton,10244 Mississauga Rd Brampton
,,5885 boul. Cavendish,5885 boul. Cavendish,Côte St-Luc,5885 boul. Cavendish Côte St-Luc
43.72078323,-79.50558472,1505 - 1525 Wilson Avenue,1505 Wilson Avenue,North York,1505 Wilson Avenue North York
45.5042623,-75.7615328,des Grands-Jardins Avenue,8-71 Grands Jardins,Ville de Gatineau,8-71 Grands Jardins Ville de Gatineau
43.98473037,-79.25897685,12875 Ninth Line,12875 Ninth Line,Whitchurch-Stouffville,12875 Ninth Line Whitchurch-Stouffville
43.51128387,-79.62551117,920 Inverhouse Drive,920 Inverhouse Drive,Mississauga,920 Inverhouse Drive Mississauga
43.928028,-78.874208,Tower on the Green,1140 Mary St N,Oshawa,1140 Mary St N Oshawa
45.384182,-75.59140629,4055 and 4120 Russell Road,4055 Russell Road,Gloucester,4055 Russell Road Gloucester
49.2780745,-123.1281679,1200 HORNBY,1200 HORNBY,Vancouver,1200 HORNBY Vancouver
49.28842163,-123.1334381,Villa Cardello,1580 Haro St,Vancouver,1580 Haro St Vancouver
49.26183319,-123.0982513,Best Western Plus Uptown Hotel,205 Kingsway,Vancouver,205 Kingsway Vancouver
49.20730209,-123.1396332,Royal Villa ,8675 French St,Vancouver,8675 French St Vancouver
43.43590546,-80.51593018,Westwinds Apartments,10 Highland Crescent,Kitchener,10 Highland Crescent Kitchener
43.45009232,-79.66551208,Rockliffe Park Suites,135 Allan Street,Oakville,135 Allan Street Oakville
43.64809036,-79.39569855,147 Spadina Avenue,147 Spadina Ave,Toronto,147 Spadina Ave Toronto
49.03683853,-122.2313232,Parallel Marketplace ,1920 N Parallel Rd,Abbotsford,1920 N Parallel Rd Abbotsford
43.1599401,-79.2551692,165 Ontario Street,165 Ontario Street,Saint Catharines,165 Ontario Street Saint Catharines
43.8477577,-79.3641154,55 East Valhalla Drive,55 East Valhalla Drive,Markham,55 East Valhalla Drive Markham
43.84782452,-79.36232384,55 East Valhalla Drive,Cochrane Dr,Markham,Cochrane Dr Markham
43.83558,-79.4052526,Bayview Avenue,Bayview Avenue,Markham,Bayview Avenue Markham
43.6805798,-79.7171122,69 First Gulf Boulevard,69 First Gulf Boulevard,Brampton,69 First Gulf Boulevard Brampton
43.38178635,-80.40183258,140 Old Mill Road,140 Old Mill Rd,Cambridge,140 Old Mill Rd Cambridge
43.79389877,-79.63098454,Line Drive,Line Drive,Vaughan,Line Drive Vaughan
43.58989819,-79.8178076,15145 Steeles Avenue,15145 Steeles Avenue,Halton Hills,15145 Steeles Avenue Halton Hills
45.46369129,-73.33788157,1537 de Chambly Road,Bellerive Road,Carignan,Bellerive Road Carignan
45.78405762,-74.02796936,Foliot Furniture,721 Blvd Roland-Godard,Saint-Jerome,721 Blvd Roland-Godard Saint-Jerome
43.7799138,-79.5209466,12746 Jane Street,12746 Jane Street,Vaughan,12746 Jane Street Vaughan
43.40463638,-79.73047638,Mancor Industries,2485 Speers Rd,Oakville,2485 Speers Rd Oakville
31.76383105,-84.61210325,229 College Street,229 College Street,,229 College Street 
43.68833702,-79.35479031,5 - 19 Cosburn Avenue & 8 - 40 Gowan Avenue,5 Cosburn Avenue,East York,5 Cosburn Avenue East York
43.1606946,-79.91613674,3054 Homestead Drive,3054 Homestead Drive,Hamilton,3054 Homestead Drive Hamilton
43.93216705,-78.87104034,191 Nonquon Road,191 Nonquon Road,Oshawa,191 Nonquon Road Oshawa
,,620 boul. de l?Industrie,620 boul. de l?Industrie,St-Paul,620 boul. de l?Industrie St-Paul
43.83057717,-79.12201858,1822 Whites Road North,1822 Whites Rd N,Pickering,1822 Whites Rd N Pickering
53.5239191,-113.7765951,279 St & 89 Ave,279 St And 89 Ave,Spruce Grove,279 St And 89 Ave Spruce Grove
49.2834194,-123.103877,323 & 369 Alexander Street,323 Alexander Street,Vancouver,323 Alexander Street Vancouver
45.35371695,-75.77889068,1050 - 1051 Baxter Road,1050 Baxter Road,Ottawa,1050 Baxter Road Ottawa
43.68788147,-79.76125336,6 Nelson St E,6 Nelson St E,Brampton,6 Nelson St E Brampton
43.46305718,-80.14831567,Nestle Waters Canada,95 Brock Rd S,Guelph,95 Brock Rd S Guelph
43.6141787,-79.4980698,266 Royal York Road,266 Royal York Road,Etobicoke,266 Royal York Road Etobicoke
43.73916254,-79.34287381,10 Wingreen Court,10 Wingreen Ct,Toronto,10 Wingreen Ct Toronto
51.1117178,-113.9463031,6520 Falconridge Boulevard NE,6520 Falconridge Boulevard NE,Calgary,6520 Falconridge Boulevard NE Calgary
43.55410385,-79.58724976,26 Park Street East,26 Park Street East,Mississauga,26 Park Street East Mississauga
,,"5360, 5400, & 5676 Thickson Road","5360, 5400, & 5676 Thickson Road",Whitby,"5360, 5400, & 5676 Thickson Road Whitby"
46.83391571,-71.30219269,1600 Blvd Lebourgneuf,1600 Blvd Lebourgneuf,Quebec,1600 Blvd Lebourgneuf Quebec
43.6771174,-79.7130854,132 First Gulf Boulevard,132 First Gulf Boulevard,Brampton,132 First Gulf Boulevard Brampton
51.18496255,-115.5588594,Rundlestone Lodge,537 Banff Ave,Banff,537 Banff Ave Banff
49.05161667,-122.377594,30553 Great Northern Avenue & 2707 - 2771 Progressive Way,30553 Great Northern Avenue & 2707 - 2771 Progressive Way,Abbotsford,30553 Great Northern Avenue & 2707 - 2771 Progressive Way Abbotsford
,,16174 80th Avenue,16174 80th Avenue,Surrey,16174 80th Avenue Surrey
46.8548394,-71.2810245,Villas Cortina,511 Blvd Louis-XIV,Quebec,511 Blvd Louis-XIV Quebec
43.3723144,-79.77976,4216 South Service Road,4216 South Service Road,Burlington,4216 South Service Road Burlington
48.42956543,-123.4025345,948 Esquimalt Road,948 Esquimalt Rd,Victoria,948 Esquimalt Rd Victoria
43.88215572,-79.22695684,Highway No. 7 East,Highway No. 7 East,Markham,Highway No. 7 East Markham
43.4082786,-80.3073386,1245 Franklin Boulevard,1245 Franklin Boulevard,Cambridge,1245 Franklin Boulevard Cambridge
43.70716875,-79.39793626,ePlace (Retail),Yonge St And Eglinton Ave E,Toronto,Yonge St And Eglinton Ave E Toronto
49.23684692,-122.7633209,1634-1638 Kebet Way,1634 Kebet Way,Port Coquitlam,1634 Kebet Way Port Coquitlam
43.45005798,-79.66674042,Rockliffe Terrace,150 Allan Street,Oakville,150 Allan Street Oakville
45.43115234,-75.68075562,Rideau & Chapel,153 Chapel St,Ottawa,153 Chapel St Ottawa
45.4908717,-75.4844473,1680 Vimont Court,1680 Vimont Court,Cumberland,1680 Vimont Court Cumberland
,,Chinook 58,324 58th Avenue SE,Calgary,324 58th Avenue SE Calgary
45.46991348,-73.81563568,5501 Trans-Canada Highway ,5501 Trans-Canada Highway,Pointe-Claire,5501 Trans-Canada Highway Pointe-Claire
49.13001365,-123.0973302,Riverside Centre,Riverside Centre,Richmond,Riverside Centre Richmond
49.2892714,-122.7559614,1500 COAST MERIDIAN RD,1500 COAST MERIDIAN RD,Coquitlam,1500 COAST MERIDIAN RD Coquitlam
49.25152465,-122.9678374,Fortius Sport & Health,Fortius Sport & Health,Burnaby,Fortius Sport & Health Burnaby
42.95232773,-81.28947449,The Westmount,740 Wonderland Rd S,London,740 Wonderland Rd S London
43.50082687,-79.73676837,3275 Trafalgar Road,3275 Trafalgar Road,Oakville,3275 Trafalgar Road Oakville
49.2450276,-123.063661,2075 Kingsway,2075 Kingsway,Vancouver,2075 Kingsway Vancouver
49.183541,-122.7900724,9953 156 ST,9953 156 ST,Surrey,9953 156 ST Surrey
43.6342515,-79.5610521,251 - 285 The West Mall,285 The West Mall,Etobicoke,285 The West Mall Etobicoke
,,3400-3470 Louis-Pasteur,3400-3470 Louis-Pasteur,Trois-Rivières,3400-3470 Louis-Pasteur Trois-Rivières
49.31776047,-123.1011429,971 West 1st Street,971 W 1st St,North Vancouver,971 W 1st St North Vancouver
42.28061225,-71.16042231,British High Commission Building,80 Elgin Street,,80 Elgin Street 
53.4203,-113.4491,Sunset Valley,6120 And 6124 Stanton Dr,Edmonton,6120 And 6124 Stanton Dr Edmonton
,,1300-1330 Sherbrooke West Street,1300 Sherbrooke West Street,Ville-Marie,1300 Sherbrooke West Street Ville-Marie
42.9610725,-82.3507976,269-275 Finch Dr,269-275 Finch Dr,Sarnia,269-275 Finch Dr Sarnia
43.1520269,-80.22680569,411 Elgin Street,411 Elgin Street,Brantford,411 Elgin Street Brantford
43.46735801,-79.68175246,450 Iroquois Shore Road,450 Iroquois Shore Road,Oakville,450 Iroquois Shore Road Oakville
43.830841,-79.6952804,11462 Coleraine Drive,11462 Coleraine Drive,Brampton,11462 Coleraine Drive Brampton
43.71323395,-79.34598541,235 Wicksteed Avenue,235 Wicksteed Avenue,East York,235 Wicksteed Avenue East York
43.713794,-79.845027,Chinguacousy Rd,Chinguacousy Rd,Brampton,Chinguacousy Rd Brampton
49.1854231,-122.6606296,20233 100A Avenue,20233 100A Avenue,Langley,20233 100A Avenue Langley
53.4211618,-113.4525817,6120 Stanton Drive SW,6120 Stanton Drive SW,Edmonton,6120 Stanton Drive SW Edmonton
49.2323871,-123.0233911,8700 BOUNDARY RD,8700 BOUNDARY RD,Burnaby,8700 BOUNDARY RD Burnaby
,,420 Tapscott Road & 31 Melford Drive,420 Tapscott Road & 31 Melford Drive,Scarborough,420 Tapscott Road & 31 Melford Drive Scarborough
49.2866171,-123.1295674,Cresta,855 Jervis St,Vancouver,855 Jervis St Vancouver
49.2328732,-123.123905,"277, 289 & 291 West 42nd Avenue",277 West 42nd Avenue,Vancouver,277 West 42nd Avenue Vancouver
45.9052153,-72.5235686,3000 Girardin,3000 Girardin,Drummondville,3000 Girardin Drummondville
49.32872772,-123.1667709,The Westwind,2025 Bellevue Ave,West Vancouver,2025 Bellevue Ave West Vancouver
45.4693215,-73.7896279,2001 des Sources Boulevard ,2001 des Sources Boulevard,Pointe-Claire,2001 des Sources Boulevard Pointe-Claire
42.27163315,-82.99803162,655 Sydney Ave,655 Sydney Ave,Windsor,655 Sydney Ave Windsor
49.2307479,-123.0062878,5235 KINGSWAY,5235 KINGSWAY,Burnaby,5235 KINGSWAY Burnaby
43.90823364,-78.81256866,1414 King Street East,1414 King St E,Clarington,1414 King St E Clarington
49.28479004,-123.1362152,1454 Pendrell Street,1454 Pendrell Street,Vancouver,1454 Pendrell Street Vancouver
43.09308338,-80.57833919,473 Sixth Concession Road,473 Sixth Concession Road,Brant,473 Sixth Concession Road Brant
43.7751953,-79.3226162,2901 Sheppard Avenue East,2901 Sheppard Avenue East,Scarborough,2901 Sheppard Avenue East Scarborough
53.25237764,-113.5783502,Windrose Townhomes,61 Windrose Dr,Leduc,61 Windrose Dr Leduc
50.99027002,-113.9663767,Barlow Centre,4760 72 Ave SE,Calgary,4760 72 Ave SE Calgary
,,4747 Côte-Vertu Boulevard,4747 de la Côte-Vertu Boulevard,Saint-Laurent,4747 de la Côte-Vertu Boulevard Saint-Laurent
45.408774,-75.69473284,Ottawa Central Station,265 Catherine St,Ottawa,265 Catherine St Ottawa
